draw,horizon_days,discount_rate,regime,replication,market_seed,supervision_seed,affected_revenue_rate,benefit_multiplier,compliance_burden_scale,conflict_capacity_share,conflict_resolution_days,connector_correction_delay_days,connector_coverage_scale,connector_downtime_probability,connector_mismatch_probability,connector_register_error_probability,connector_stale_probability,consumer_discrepancy_sensitivity,consumer_preference_scale,correction_window_days,evidence_request_capacity,hub_noise,hub_participation_scale,hub_processing_delay_days,hub_strictness,investigation_capacity,investor_controversy_scale,investor_sophisticated_fraction,random_surveillance_share,regulatory_strictness,sim_turnover_balance_multiple,social_discount_rate,workforce_trust_loss_rate,workforce_trust_recovery_rate,backlog_pending_cases,bank_benefit_misallocation,benefit_before_detection,calculation_greenwashing,case_completion_days_mean,conflict_cases_opened,conflict_claim_corrected,conflict_confirmed_firm_claim,conflict_dismissed_unresolved,conflict_escalated_corroborated,conflict_investigations,conflict_pending_unresolved,conflict_register_corrected,conflict_resolution_delay_mean,connector_active_source_share,consumer_exposure,consumer_perceived_misallocation,corrected_material_claims,correction_delay_days,cost_per_detected_material_claim,cost_per_prevented_material_claim,detection_coverage,detection_delay_days,discount_rate_annual,discounted_exposure_weighted_severity,discounted_total_public_cost,employee_trust_mean,evidence_quality_mean,exposure_weighted_severity,false_negatives,false_positive_rate_assessed,false_positives,firm_policy_cost,firm_reporting_cost,foregone_consumer_premium,green_welfare_share,gross_emissions_final,hub_participation_rate,hub_tot_meaningful_revision_rate,hub_tot_revision_rate_adaptive,hub_tot_revision_rate_greenwasher,hub_tot_revision_rate_honest,investor_exposure,investor_signal_distortion,live_uncorrected_material_overstatements,manual_overrides,mean_days_to_correction,mean_greenhushing_gap,mean_reporting_delay_days,misleading_claim_days,noise_only_overstatements,original_material_overstatements,population_detection_recall,precision,prepublication_meaningful_revisions,prepublication_noise_flag_share,prepublication_revisions,prepublication_withheld_overstatements,privacy_cyber_incidents,published_claims,queue_mean_age_days,queue_tail_age_days_p90,real_environmental_investment,recall,recurrence_after_feedback,regulator_time_cost,repeated_abuse_firms,screening_conditioned_precision,screening_conditioned_recall,severity_weighted_detection_recall,severity_weighted_greenwashing,sme_burden,specificity,state_policy_cost,strategic_material_overstatements,strategic_share_of_material,subsidy_misallocation,time_to_correction_mean,true_material_overstatements,true_negatives,true_positives,turnover_replacement_cost,uncommunicated_real_performance,unresolved_uncertainty,unsupported_generic_claims,voluntary_claims_published,voluntary_reporting_declines,withheld_truthful_claims
0,2000,0.054184425002688545,current_eu_supervision,0,20260716,104729,0.02524866305486307,0.5981128683123924,1.4597156716577595,0.2641250801509854,7.233516996481992,14.63977450677697,0.9030328614953561,0.032806195673181646,0.023206791747025293,0.031147441968208258,9.12621446552006e-05,1.5379001967045134,0.999176485223227,46.430105718320874,21.327297070769735,0.44528516485585157,0.9547242738243127,17.188301012165297,0.34778225989297107,7.574796667515677,1.5122518467131227,0.6753724174809947,0.2834649374444819,0.26171061302592213,1.428195105981462,0.054184425002688545,0.362652727041481,0.0036031118602949594,265.0,0.0,201319.26360184816,472.0,297.8619246861925,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,30.0,0.0,1283.0,0.11298407452811421,9.0,348.8186274509804,300.7236842105263,0.0,0.20970350404312668,0.0,0.054184425002688545,219700.47720170452,119275.08433214958,0.5924758144550393,0.20313649043563714,244361.10007612128,42.0,0.0,0.0,0.0,5998.68543017082,0.0,0.23822744337570997,4067467.437937021,0.0,0.0,0.0,0.0,0.0,1278.0,0.11876266846105096,1851.0,0.0,348.8186274509804,0.0,0.0,1683047.0,610.0,1855.0,0.18706199460916442,1.0,0.0,0.0,0.0,0.0,0.0,2612.0,691.5471698113207,1640.0,289814.00474006485,0.9156626506024096,0.0,137130.0,10.0,1.0,0.9156626506024096,0.3112926322040199,267.3509709902038,2394.362002091394,1.0,0.0,1245.0,0.6711590296495957,142515.05132467215,23.0,1855.0,6.0,456.0,4309760.259928162,0.0,35.0,446.0,1586.0,0.0,0.0
0,2000,0.054184425002688545,sme_algorithmic_prescreening,0,20260716,104729,0.02524866305486307,0.5981128683123924,1.4597156716577595,0.2641250801509854,7.233516996481992,14.63977450677697,0.9030328614953561,0.032806195673181646,0.023206791747025293,0.031147441968208258,9.12621446552006e-05,1.5379001967045134,0.999176485223227,46.430105718320874,21.327297070769735,0.44528516485585157,0.9547242738243127,17.188301012165297,0.34778225989297107,7.574796667515677,1.5122518467131227,0.6753724174809947,0.2834649374444819,0.26171061302592213,1.428195105981462,0.054184425002688545,0.362652727041481,0.0036031118602949594,267.0,0.0,198996.24020108246,472.0,321.75949367088606,2.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,30.0,0.0,1245.0,0.11503539252934872,7.0,383.0502512562814,379.56236323851203,494.4387755102041,0.2211803640375069,6.105032822757112,0.054184425002688545,213446.2300625662,153843.97231935617,0.5985104789473072,0.20313795663444217,237594.00810275227,41.0,0.0,0.0,11975.0,5978.522426389888,3387.8254738391815,0.23432731531327536,4074575.5845984165,0.5694444444444444,0.2787456445993031,0.22448979591836735,0.2857142857142857,0.3157894736842105,1274.0,0.1229091358197381,1809.0,0.0,383.0502512562814,0.006775650947678363,17.0,1643381.0,604.0,1813.0,0.19911748483177055,1.0,80.0,0.4878048780487805,80.0,18.0,0.0,2587.0,692.8089887640449,1640.0,288330.056297521,0.9176706827309237,762.0,136980.0,10.0,1.0,0.9176706827309237,0.3191932274839077,260.42234757619434,14369.618591585859,1.0,36480.0,1209.0,0.6668505239933812,147490.8179509054,23.0,1813.0,7.0,457.0,4434493.167932321,0.006775650947678363,33.0,382.0,1561.0,31.0,10.0
0,2000,0.054184425002688545,certified_green_data_connector,0,20260716,104729,0.02524866305486307,0.5981128683123924,1.4597156716577595,0.2641250801509854,7.233516996481992,14.63977450677697,0.9030328614953561,0.032806195673181646,0.023206791747025293,0.031147441968208258,9.12621446552006e-05,1.5379001967045134,0.999176485223227,46.430105718320874,21.327297070769735,0.44528516485585157,0.9547242738243127,17.188301012165297,0.34778225989297107,7.574796667515677,1.5122518467131227,0.6753724174809947,0.2834649374444819,0.26171061302592213,1.428195105981462,0.054184425002688545,0.362652727041481,0.0036031118602949594,282.0,0.0,192448.949836076,348.0,267.02702702702703,8.0,2.0,0.0,0.0,3.0,8.0,2.0,1.0,70.66666666666667,0.7125,1141.0,0.0742843982980669,6.0,300.6040609137056,546.7241379310345,119100.0,0.21861861861861862,0.39439655172413796,0.054184425002688545,200563.96964108734,227979.91741163714,0.6006900838840126,0.20313845282689472,222888.68882896184,35.0,0.0,0.0,1500.0,5979.832986993435,0.0,0.2349108145515101,4076146.1413994855,0.0,0.0,0.0,0.0,0.0,1106.0,0.12277904615495276,1662.0,51.0,300.6040609137056,0.0,0.0,1501638.0,542.0,1665.0,0.1993993993993994,1.0,0.0,0.0,0.0,0.0,10.4,2593.0,758.0851063829788,1760.0,291514.46870958124,0.9298597194388778,0.0,136080.0,10.0,1.0,0.9298597194388778,0.28846932933545444,244.817131478447,2977.6292758049694,1.0,117600.0,1123.0,0.6744744744744745,147334.70191213558,53.0,1665.0,8.0,464.0,4243898.227222346,0.0,32.0,440.0,1567.0,0.0,0.0
0,2000,0.054184425002688545,current_eu_supervision,1,20261716,112648,0.02524866305486307,0.5981128683123924,1.4597156716577595,0.2641250801509854,7.233516996481992,14.63977450677697,0.9030328614953561,0.032806195673181646,0.023206791747025293,0.031147441968208258,9.12621446552006e-05,1.5379001967045134,0.999176485223227,46.430105718320874,21.327297070769735,0.44528516485585157,0.9547242738243127,17.188301012165297,0.34778225989297107,7.574796667515677,1.5122518467131227,0.6753724174809947,0.2834649374444819,0.26171061302592213,1.428195105981462,0.054184425002688545,0.362652727041481,0.0036031118602949594,263.0,0.0,194441.48762870126,476.0,306.3153526970954,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,30.0,0.0,1288.0,0.10880155391469142,12.0,361.578431372549,303.05309734513276,0.0,0.21200648999459168,0.0,0.054184425002688545,222517.98198645166,119145.01936724827,0.5797029559517779,0.20308445997931796,247102.81387368712,47.0,0.2,1.0,0.0,6007.569958266406,0.0,0.23709166315848307,4063969.4110114854,0.0,0.0,0.0,0.0,0.0,1268.0,0.12560397702309675,1846.0,0.0,361.578431372549,0.0,0.0,1665416.0,600.0,1849.0,0.18658734451054623,0.9977924944812362,0.0,0.0,0.0,0.0,0.0,2608.0,684.3346007604563,1640.0,282443.8205603243,0.905811623246493,0.0,136980.0,10.0,0.9977924944812362,0.905811623246493,0.3072164420055214,267.817631382626,2396.4166703254423,0.8,0.0,1249.0,0.6755002704164413,150724.62672710267,23.0,1849.0,4.0,452.0,4449683.760799796,0.0,37.0,441.0,1582.0,0.0,0.0
0,2000,0.054184425002688545,sme_algorithmic_prescreening,1,20261716,112648,0.02524866305486307,0.5981128683123924,1.4597156716577595,0.2641250801509854,7.233516996481992,14.63977450677697,0.9030328614953561,0.032806195673181646,0.023206791747025293,0.031147441968208258,9.12621446552006e-05,1.5379001967045134,0.999176485223227,46.430105718320874,21.327297070769735,0.44528516485585157,0.9547242738243127,17.188301012165297,0.34778225989297107,7.574796667515677,1.5122518467131227,0.6753724174809947,0.2834649374444819,0.26171061302592213,1.428195105981462,0.054184425002688545,0.362652727041481,0.0036031118602949594,263.0,0.0,203302.24723707154,476.0,318.91701244813277,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,30.0,0.0,1247.0,0.10124019970849768,10.0,378.320197044335,384.1501103752759,476.97115384615387,0.21587125416204217,5.960264900662252,0.054184425002688545,213903.84837459106,154395.31367087588,0.5884875052552844,0.20308368144546526,237854.17026978545,40.0,0.0,0.0,12565.0,6001.936306121579,3115.5891685920974,0.269529439835405,3967569.9491331615,0.5972222222222222,0.27906976744186046,0.2,0.32653061224489793,0.3197278911564626,1262.0,0.12349027776732854,1796.0,0.0,378.320197044335,0.006231178337184195,17.0,1621090.0,597.0,1802.0,0.1936736958934517,1.0,84.0,0.5016611295681063,84.0,20.0,0.0,2585.0,701.9011406844106,1640.0,284839.337784655,0.9188640973630832,795.0,136980.0,9.0,1.0,0.9188640973630832,0.3186796948115751,259.72957138553556,14976.154680069894,1.0,37040.0,1205.0,0.6687014428412874,148188.17648814147,47.0,1802.0,11.0,453.0,4299817.819003636,0.006231178337184195,37.0,370.0,1559.0,29.0,6.0
0,2000,0.054184425002688545,certified_green_data_connector,1,20261716,112648,0.02524866305486307,0.5981128683123924,1.4597156716577595,0.2641250801509854,7.233516996481992,14.63977450677697,0.9030328614953561,0.032806195673181646,0.023206791747025293,0.031147441968208258,9.12621446552006e-05,1.5379001967045134,0.999176485223227,46.430105718320874,21.327297070769735,0.44528516485585157,0.9547242738243127,17.188301012165297,0.34778225989297107,7.574796667515677,1.5122518467131227,0.6753724174809947,0.2834649374444819,0.26171061302592213,1.428195105981462,0.054184425002688545,0.362652727041481,0.0036031118602949594,277.0,0.0,190538.1349503033,356.0,237.53303964757708,9.0,3.0,0.0,0.0,1.0,9.0,0.0,5.0,67.22222222222223,0.7125,1147.0,0.079667673514589,11.0,275.10769230769233,551.1521739130435,119100.0,0.22035928143712574,0.13260869565217392,0.054184425002688545,205905.65718896873,227802.76972142805,0.5851891311005709,0.20308513816527607,228239.17551386444,39.0,0.0,0.0,1500.0,6004.4445197926325,0.0,0.2248915708281558,4102436.118251273,0.0,0.0,0.0,0.0,0.0,1110.0,0.12777946614355118,1667.0,74.0,275.10769230769233,0.0,0.0,1521823.0,527.0,1670.0,0.19760479041916168,1.0,0.0,0.0,0.0,0.0,12.0,2588.0,806.4981949458484,1820.0,285388.118851329,0.9218436873747495,0.0,135930.0,10.0,1.0,0.9218436873747495,0.27129310902180015,246.08898371847533,3001.3600792869884,1.0,117600.0,1143.0,0.6844311377245509,153335.19453675003,47.54545454545455,1670.0,6.0,460.0,4352558.378016028,0.0,36.0,434.0,1562.0,0.0,0.0
0,2000,0.054184425002688545,current_eu_supervision,2,20262716,120567,0.02524866305486307,0.5981128683123924,1.4597156716577595,0.2641250801509854,7.233516996481992,14.63977450677697,0.9030328614953561,0.032806195673181646,0.023206791747025293,0.031147441968208258,9.12621446552006e-05,1.5379001967045134,0.999176485223227,46.430105718320874,21.327297070769735,0.44528516485585157,0.9547242738243127,17.188301012165297,0.34778225989297107,7.574796667515677,1.5122518467131227,0.6753724174809947,0.2834649374444819,0.26171061302592213,1.428195105981462,0.054184425002688545,0.362652727041481,0.0036031118602949594,262.0,0.0,195725.047631348,484.0,330.8636363636364,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,30.0,0.0,1298.0,0.09591338368803728,10.0,395.93564356435644,303.39246119733923,0.0,0.20743534482758622,0.0,0.054184425002688545,217732.14085105516,119008.02537505138,0.5893768429000127,0.20311614582502743,242241.41787092344,48.0,0.0,0.0,0.0,6010.421210322098,0.0,0.1965822714586789,4188641.3377216943,0.0,0.0,0.0,0.0,0.0,1284.0,0.12686706438269535,1853.0,0.0,395.93564356435644,0.0,0.0,1656670.0,623.0,1856.0,0.18157327586206898,1.0,0.0,0.0,0.0,0.0,0.0,2602.0,693.9694656488549,1640.0,277981.8161749289,0.9038076152304609,0.0,136830.0,10.0,1.0,0.9038076152304609,0.3017407147471742,268.15400606187245,2394.043967558537,1.0,0.0,1233.0,0.6643318965517241,152240.32248141585,23.0,1856.0,5.0,451.0,4347697.664670193,0.0,39.0,446.0,1576.0,0.0,0.0
0,2000,0.054184425002688545,sme_algorithmic_prescreening,2,20262716,120567,0.02524866305486307,0.5981128683123924,1.4597156716577595,0.2641250801509854,7.233516996481992,14.63977450677697,0.9030328614953561,0.032806195673181646,0.023206791747025293,0.031147441968208258,9.12621446552006e-05,1.5379001967045134,0.999176485223227,46.430105718320874,21.327297070769735,0.44528516485585157,0.9547242738243127,17.188301012165297,0.34778225989297107,7.574796667515677,1.5122518467131227,0.6753724174809947,0.2834649374444819,0.26171061302592213,1.428195105981462,0.054184425002688545,0.362652727041481,0.0036031118602949594,250.0,0.0,204911.67206820304,484.0,317.74015748031496,3.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,30.0,0.0,1269.0,0.12190339012109347,7.0,401.07462686567163,398.2420091324201,468.9449541284404,0.21467688937568455,7.790432801822323,0.054184425002688545,214141.8065005782,154692.641997783,0.5851494516828845,0.20311280718156594,238374.2037400922,53.0,0.07692307692307693,1.0,13515.0,5982.086306666893,2227.7422169584684,0.23197257497254944,4078988.954247472,0.625,0.2984126984126984,0.30612244897959184,0.1746031746031746,0.34415584415584416,1283.0,0.1192932269538625,1823.0,0.0,401.07462686567163,0.004455484433916936,17.0,1629781.0,622.0,1826.0,0.18565169769989048,0.9977220956719818,94.0,0.4793650793650794,94.0,15.0,0.0,2595.0,681.92,1760.0,267641.27981934085,0.8920570264765784,835.0,136830.0,10.0,0.9977220956719818,0.8920570264765784,0.30829954746281557,263.41950296248365,15901.712881587562,0.9230769230769231,37600.0,1204.0,0.6593647316538883,143151.73157862716,40.142857142857146,1826.0,12.0,438.0,4413314.775764395,0.004455484433916936,48.0,382.0,1569.0,27.0,3.0
0,2000,0.054184425002688545,certified_green_data_connector,2,20262716,120567,0.02524866305486307,0.5981128683123924,1.4597156716577595,0.2641250801509854,7.233516996481992,14.63977450677697,0.9030328614953561,0.032806195673181646,0.023206791747025293,0.031147441968208258,9.12621446552006e-05,1.5379001967045134,0.999176485223227,46.430105718320874,21.327297070769735,0.44528516485585157,0.9547242738243127,17.188301012165297,0.34778225989297107,7.574796667515677,1.5122518467131227,0.6753724174809947,0.2834649374444819,0.26171061302592213,1.428195105981462,0.054184425002688545,0.362652727041481,0.0036031118602949594,278.0,0.0,168432.19763283446,355.0,261.4424778761062,20.0,7.0,0.0,3.0,5.0,20.0,0.0,5.0,71.15,0.7,1157.0,0.08216837975897437,13.0,311.6914893617021,562.2321428571429,119100.0,0.21782762691853602,0.6777777777777778,0.054184425002688545,202666.53349198267,226374.08777185998,0.5821835921223826,0.2031148538898848,224966.08876207046,55.0,0.3333333333333333,2.0,1500.0,5958.559239039223,0.0,0.2043342992820996,4163369.40259899,0.0,0.0,0.0,0.0,0.0,1134.0,0.12270514001635399,1687.0,74.0,311.6914893617021,0.0,0.0,1516969.0,541.0,1694.0,0.18831168831168832,0.9955555555555555,0.0,0.0,0.0,0.0,10.4,2590.0,779.7122302158274,1760.0,273936.56847434375,0.8906560636182903,0.0,134280.0,10.0,0.9955555555555555,0.8906560636182903,0.26947184301005817,248.3594588557127,2968.8721977310806,0.6666666666666666,117600.0,1153.0,0.6806375442739079,147246.02445461092,71.46153846153847,1694.0,4.0,448.0,4359240.256694734,0.0,50.0,437.0,1564.0,0.0,0.0
1,2000,0.01717564902995909,current_eu_supervision,0,21260716,209458,0.04590265948399575,2.2177570035611938,0.2683406408845605,0.1796712274719338,12.5071786965681,40.021423851427116,0.9281824795055018,0.06070513046602469,0.08434298608459972,0.04949820533821245,0.18574909276952942,2.4588499655832123,0.5041996012553575,31.366916892873856,14.872091838525822,0.09246421562146842,1.458844067075487,6.467678352811973,0.4868408717320373,2.261243227274789,0.9533996058440285,0.36183163735331153,0.11560933649082822,0.46040902545055046,1.6292157368052438,0.01717564902995909,0.6834723275803118,0.008912216633070028,299.0,0.0,67649.60478071905,479.0,547.3770491803278,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1336.0,0.08830139964169353,1.0,667.8,180.8695652173913,0.0,0.17051416579223505,0.0,0.01717564902995909,251311.32781855733,59604.964864685215,0.7653754614223954,0.16941109029859502,260168.27290798406,13.0,0.0,0.0,0.0,5527.547219109457,0.0,0.2310720941212106,4089506.25594648,0.0,0.0,0.0,0.0,0.0,1286.0,0.12611817743637807,1905.0,0.0,667.8,0.0,0.0,1760295.0,642.0,1906.0,0.16369359916054566,1.0,0.0,0.0,0.0,0.0,0.0,2677.0,881.0702341137123,1640.0,284030.90879235324,0.9636871508379888,0.0,62400.0,9.0,1.0,0.9636871508379888,0.2878382298378425,280.1090693630386,2246.59733747951,1.0,0.0,1264.0,0.6631689401888772,151341.65779829537,15.0,1906.0,2.0,345.0,3481109.5702934996,0.0,13.0,471.0,1651.0,0.0,0.0
