case_id,firm_symbol,claim_id,opened_day,legal_track,authority,state,priority,trigger,assessment_id,correction_due_day,decision_day,publication_day,closed_day,remedy,calculated_penalty,applicable_cap,applied_penalty,redress,cross_border_consumer_case,duration_days,state_history,outcome,confidence,rule_ids,reasons,policy_regime
R-660-163,BRN1,C-BRN1-97,660,consumer,directive_2024_825,closed,0.94,risk_screening,A-660-163,,1080,1080,1080,withdraw_publish_and_redress,1070188.8156857458,6000000.0,0.0,0.0,False,420,660:screened|660:evidence_requested|660:under_assessment|1080:formal_investigation|1080:decided|1080:published|1080:closed,prohibited_practice,0.361877191721617,UCPD-MISLEADING-ACTION|UCPD-MISLEADING-OMISSION|D2024-825-OFFSET-IMPACT-CLAIM|D2024-825-WHOLE-BUSINESS-OVERREACH,Impact-neutrality or reduction claim based on offsets without transparent separation.|Net-zero presentation omits Scope 3 boundary.,current_eu_supervision
R-660-164,BRN1,C-BRN1-98,660,financial_markets,market_disclosure,closed,0.94,risk_screening,A-660-164,,1080,1080,1080,correct_and_publish,796293.6070598167,6000000.0,0.0,0.0,False,420,660:screened|660:evidence_requested|660:under_assessment|1080:formal_investigation|1080:decided|1080:published|1080:closed,systemic_abuse,0.6071572386426239,ISSUER-CLEAR-FAIR-NOT-MISLEADING|MAR-PROSPECTUS-TRANSPARENCY-SCOPE-SCREEN,Material greener-than-evidence representation.,current_eu_supervision
R-660-165,BRN2,C-BRN2-92,660,sustainability_reporting,csrd,closed,0.94,random_surveillance,A-660-165,,1080,1080,1080,correct_and_publish,154153.0473006213,5200000.0,154153.05,0.0,False,420,660:screened|660:evidence_requested|660:under_assessment|1080:formal_investigation|1080:decided|1080:published|1080:closed,systemic_abuse,0.6029856092298161,CSRD-REPORTING-SCOPE|CSRD-LIMITED-ASSURANCE,Material greener-than-evidence representation.,current_eu_supervision
R-660-166,BRN2,C-BRN2-98,660,financial_markets,market_disclosure,closed,0.94,risk_screening,A-660-166,,1200,1200,1200,correct_and_publish,565059.5891765471,5200000.0,565059.59,0.0,False,540,660:screened|660:evidence_requested|660:under_assessment|1200:formal_investigation|1200:decided|1200:published|1200:closed,systemic_abuse,0.6110467447191006,ISSUER-CLEAR-FAIR-NOT-MISLEADING|MAR-PROSPECTUS-TRANSPARENCY-SCOPE-SCREEN,Material greener-than-evidence representation.,current_eu_supervision
R-660-167,GRN2,C-GRN2-97,660,consumer,directive_2024_825,closed,0.94,risk_screening,A-660-167,,1200,1200,1200,withdraw_publish_and_redress,1407675.0,8000000.0,797577.2,0.0,False,540,660:screened|660:evidence_requested|660:under_assessment|1200:formal_investigation|1200:decided|1200:published|1200:closed,prohibited_practice,0.360546875,UCPD-MISLEADING-ACTION|UCPD-MISLEADING-OMISSION|D2024-825-OFFSET-IMPACT-CLAIM|D2024-825-WHOLE-BUSINESS-OVERREACH,Impact-neutrality or reduction claim based on offsets without transparent separation.|Net-zero presentation omits Scope 3 boundary.,current_eu_supervision
R-660-168,GRN2,C-GRN2-98,660,financial_markets,market_disclosure,closed,0.94,risk_screening,A-660-168,,1200,1200,1200,correct_and_publish,1039719.0834130562,8000000.0,0.0,0.0,False,540,660:screened|660:evidence_requested|660:under_assessment|1200:formal_investigation|1200:decided|1200:published|1200:closed,systemic_abuse,0.6064157363920176,ISSUER-CLEAR-FAIR-NOT-MISLEADING|MAR-PROSPECTUS-TRANSPARENCY-SCOPE-SCREEN,Material greener-than-evidence representation.,current_eu_supervision
R-660-169,GRN3,C-GRN3-62,660,financial_markets,market_disclosure,closed,0.94,random_surveillance,A-660-169,,1200,1200,1200,correct_and_publish,262980.0258366235,3500000.0,262980.03,0.0,False,540,660:screened|660:evidence_requested|660:under_assessment|1200:formal_investigation|1200:decided|1200:published|1200:closed,systemic_abuse,0.2545716746345089,ISSUER-CLEAR-FAIR-NOT-MISLEADING|MAR-PROSPECTUS-TRANSPARENCY-SCOPE-SCREEN,Material greener-than-evidence representation.,current_eu_supervision
R-660-170,MID1,C-MID1-59,660,consumer,directive_2024_825,closed,0.94,random_surveillance,A-660-170,,1200,1200,1200,withdraw_publish_and_redress,1251906.2499999998,7000000.0,1075597.64,0.0,False,540,660:screened|660:evidence_requested|660:under_assessment|1200:formal_investigation|1200:decided|1200:published|1200:closed,systemic_abuse,0.360546875,UCPD-MISLEADING-ACTION|UCPD-MISLEADING-OMISSION,Material greener-than-evidence representation.,current_eu_supervision
R-660-171,MID1,C-MID1-61,660,consumer,directive_2024_825,closed,0.94,risk_screening,A-660-171,,1320,1320,1320,withdraw_publish_and_redress,1231715.625,7000000.0,637143.0,0.0,False,660,660:screened|660:evidence_requested|660:under_assessment|1320:formal_investigation|1320:decided|1320:published|1320:closed,prohibited_practice,0.360546875,UCPD-MISLEADING-ACTION|UCPD-MISLEADING-OMISSION|D2024-825-OFFSET-IMPACT-CLAIM|D2024-825-WHOLE-BUSINESS-OVERREACH,Impact-neutrality or reduction claim based on offsets without transparent separation.|Net-zero presentation omits Scope 3 boundary.,current_eu_supervision
R-660-172,MID1,C-MID1-62,660,financial_markets,market_disclosure,closed,0.94,random_surveillance,A-660-172,,1320,1320,1320,correct_and_publish,824521.8483104514,7000000.0,0.0,0.0,False,660,660:screened|660:evidence_requested|660:under_assessment|1320:formal_investigation|1320:decided|1320:published|1320:closed,systemic_abuse,0.3637945157640535,ISSUER-CLEAR-FAIR-NOT-MISLEADING|MAR-PROSPECTUS-TRANSPARENCY-SCOPE-SCREEN,Material greener-than-evidence representation.,current_eu_supervision
