day,asset_price,corporate_balance,noise_count,fundamentalist_count,chartist_count,noise_wealth,fundamentalist_wealth,chartist_wealth
26,345.78,1000000.0,33,33,34,43432.17659184207,56931.366564838616,39197.04250124041
27,100.0,1000000.0,33,33,34,20329.750914226333,19565.715643108528,20034.426659038836
28,100.0,1000000.0,33,33,34,20330.64531011654,19566.072629505245,20035.422075116145
29,102.75,1000000.0,33,33,34,20590.083002696676,19989.69260868565,20237.342975041658
30,102.25,1000000.0,33,33,34,20543.467698197106,19916.672863222368,20189.229800897992
31,97.25,1000000.0,33,33,34,20073.665341773984,19117.93974956702,19835.747622977407
32,102.75,1000000.0,33,33,34,20589.484818688128,20007.51223304981,20202.109907401762
33,99.05,1000000.0,33,33,34,20243.324334507877,19397.757112642594,19957.812638873416
34,100.0,1000000.0,33,33,34,20332.920652849996,19556.0996034306,20018.762416261947
35,100.0,1000000.0,33,33,34,20333.82159069025,19556.339083597257,20019.890227516145
36,98.94,1000000.0,33,33,34,20235.21939911695,19375.7177699025,19953.65406852827
37,102.75,1000000.0,33,33,34,20591.519631949017,20024.28113659968,20172.233143212186
38,97.99,1000000.0,33,33,34,20147.059216369784,19200.87447632504,19900.866125007702
39,97.25,1000000.0,33,33,34,20078.130725727093,19063.080156253527,19864.181727667827
40,102.75,1000000.0,33,33,34,20591.4579995776,20038.571034633576,20141.492342759204
41,100.0,1000000.0,33,33,34,20335.110437595,19547.37583042638,20006.199116505348
42,100.0,1000000.0,33,33,34,20336.012949785392,19547.51397090559,20007.435403620482
43,97.25,1000000.0,33,33,34,20079.36869312778,19047.36242667427,19875.47177338318
44,101.75,1000000.0,33,33,34,20501.28230755867,19864.179115736966,20078.71485284236
45,95.91,1000000.0,33,33,34,19956.513824581292,18787.91002038456,19826.85064182902
46,99.79,1000000.0,33,33,34,20318.447169397055,19504.30808111473,19985.855154178098
47,93.23,1000000.0,33,33,34,19706.308389154365,18282.337673576556,19737.99141120219
48,100.0,1000000.0,33,33,34,20338.464805427113,19550.65151155886,19986.637914138482
49,100.0,1000000.0,33,33,34,20339.370083978993,19550.718688395424,19987.980409760756
